word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source
teacher,KET,1,老师,n.,学习与课堂,Our teacher draws a map.,老师画了一张地图。,"[{""text"": ""teach"", ""kind"": ""root"", ""meaning"": ""教""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人；比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",动作词 + -er，表示做这件事的人；printer 在本课指执行打印动作的机器。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
student,KET,1,学生,n.,学习与课堂,The student asks a question.,这名学生问了一个问题。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
classroom,KET,1,教室,n.,学习与课堂,Our classroom has six windows.,我们的教室有六扇窗。,"[{""text"": ""class"", ""kind"": ""compound"", ""meaning"": ""班级；课""}, {""text"": ""room"", ""kind"": ""compound"", ""meaning"": ""房间""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
homework,KET,1,家庭作业,n.,学习与课堂,I finish my homework before dinner.,我在晚饭前完成作业。,"[{""text"": ""home"", ""kind"": ""compound"", ""meaning"": ""家""}, {""text"": ""work"", ""kind"": ""compound"", ""meaning"": ""工作；功课""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
notebook,KET,1,笔记本,n.,学习与课堂,Write your idea in this notebook.,把你的想法写在这本笔记本里。,"[{""text"": ""note"", ""kind"": ""compound"", ""meaning"": ""笔记""}, {""text"": ""book"", ""kind"": ""compound"", ""meaning"": ""本子；书""}]",这是现代英语中可以辨认的合成成分。把两个意思连起来理解，再用例句确认完整词义。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
dictionary,KET,3,词典,n.,学习与课堂,Use a dictionary to check this word.,用词典查一下这个单词。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
subject,KET,2,学科,n.,学习与课堂,Art is my favourite subject.,美术是我最喜欢的学科。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
lesson,KET,1,课,n.,学习与课堂,Our music lesson starts at ten.,我们的音乐课十点开始。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
language,KET,3,语言,n.,学习与课堂,We learn a new language together.,我们一起学习一门新语言。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
sentence,KET,2,句子,n.,学习与课堂,Make a sentence about your family.,造一个关于你家人的句子。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
mistake,KET,2,错误,n.,学习与课堂,I found a mistake in my answer.,我发现答案里有个错误。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
answer,KET,1,答案；回答,n.; v.,学习与课堂,Please answer in a full sentence.,请用完整的句子回答。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
question,KET,1,问题,n.,学习与课堂,That is an interesting question.,那是个有趣的问题。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
explain,KET,3,解释,v.,学习与课堂,Can you explain the rules?,你能解释一下规则吗？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
remember,KET,2,记得,v.,学习与课堂,I remember your birthday.,我记得你的生日。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
forget,KET,2,忘记,v.,学习与课堂,Do not forget your notebook.,别忘了你的笔记本。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
practise,KET,2,练习,v.,学习与课堂,We practise English after lunch.,我们午饭后练习英语。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,practice,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
spell,KET,2,拼写,v.,学习与课堂,Can you spell your name?,你能拼写自己的名字吗？,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
learn,KET,1,学习,v.,学习与课堂,I want to learn to swim.,我想学习游泳。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
teach,KET,1,教,v.,学习与课堂,Can you teach me this song?,你能教我这首歌吗？,"[{""text"": ""teach"", ""kind"": ""root"", ""meaning"": ""教""}]",结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
read,KET,1,阅读,v.,学习与课堂,We read a story together.,我们一起读一个故事。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
write,KET,1,写,v.,学习与课堂,Write a letter to your friend.,给你的朋友写封信。,"[{""text"": ""write"", ""kind"": ""root"", ""meaning"": ""写""}]",结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
library,KET,1,图书馆,n.,学习与课堂,The library closes at six.,图书馆六点关门。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
exam,KET,2,考试,n.,学习与课堂,My English exam is on Friday.,我的英语考试在星期五。,[],结合例句与生活场景整体记忆，不按相同字母强行拆词。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
actor,KET,2,演员,n.,人物与职业,The actor wears a funny hat.,那名演员戴着一顶有趣的帽子。,"[{""text"": ""act"", ""kind"": ""root"", ""meaning"": ""表演""}, {""text"": ""-or"", ""kind"": ""suffix"", ""meaning"": ""做某事的人""}]",act + -or 表示表演的人。这个词使用 -or，不是 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf
