word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source,phonetic,definition_source,content_status,display_word,example_kind,story_title,story_zh,teacher_prompt,cloze,cloze_answer,cloze_zh,cloze_type,materials_version,example_source,examples_json,student_prompt
accountant,PET,2,会计人员；会计师,n.,人物与社会,This story is about an accountant.,这个故事讲的是一位会计人员。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,ә'kauntәnt,https://github.com/skywind3000/ECDICT,offline-materials,accountant,person,accountant · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位会计人员。小乐说：“This story is about an accountant.”朋友听懂了，也想起自己遇到过的事。,,This story is about an __________.,accountant,这个故事讲的是一位会计人员。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 accountant 说一句自己的话。
boyfriend,PET,2,男朋友,n.,人物与社会,This story is about a boyfriend.,这个故事讲的是一位男朋友。,"[{""text"": ""boy"", ""kind"": ""compound"", ""meaning"": ""男孩""}, {""text"": ""friend"", ""kind"": ""compound"", ""meaning"": ""朋友""}]",两个已有成分组合成一个词。结合它们的意思理解整体词义，但不要把这种现代拆分当作完整的历史词源。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'bɔifrend,https://github.com/skywind3000/ECDICT,offline-materials,boyfriend,person,boyfriend · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位男朋友。小乐说：“This story is about a boyfriend.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,boyfriend,这个故事讲的是一位男朋友。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 boyfriend 说一句自己的话。
climate,PET,2,气候；社会趋势；气候区,n.,人物与社会,We talked about the climate today.,我们今天谈到了气候。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'klaimit,https://github.com/skywind3000/ECDICT,offline-materials,climate,nature,climate · 单词里的小故事,小乐观察完身边的世界，回教室讲了一件事。我们今天谈到了气候。小乐说：“We talked about the climate today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,climate,我们今天谈到了气候。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 climate 说一句自己的话。
crew,PET,2,全体船员；工作人员,n.,人物与社会,The ship has a crew of ten.,这艘船有十名船员。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,kru:,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,crew,authored,crew · 单词里的小故事,小乐和朋友交换今天的小发现。这艘船有十名船员。小乐说：“The ship has a crew of ten.”朋友听懂了，也想起自己遇到过的事。,,The ship has a __________ of ten.,crew,这艘船有十名船员。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 crew 说一句自己的话。
embassy,PET,2,大使馆；大使馆全体人员,n.,人物与社会,We visited the embassy today.,我们今天参观了大使馆。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'embәsi,https://github.com/skywind3000/ECDICT,offline-materials,embassy,place,embassy · 单词里的小故事,小乐把今天的外出经历记进了日记。我们今天参观了大使馆。小乐说：“We visited the embassy today.”朋友听懂了，也想起自己遇到过的事。,,We visited the __________ today.,embassy,我们今天参观了大使馆。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 embassy 说一句自己的话。
employee,PET,1,职员；员工；受雇人员,n.,人物与社会,This story is about an employee.,这个故事讲的是一位职员。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,.emplɒi'i:,https://github.com/skywind3000/ECDICT,offline-materials,employee,person,employee · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位职员。小乐说：“This story is about an employee.”朋友听懂了，也想起自己遇到过的事。,,This story is about an __________.,employee,这个故事讲的是一位职员。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 employee 说一句自己的话。
employment,PET,1,雇用；职业；工作,n.,人物与社会,We talked about the employment today.,我们今天谈到了雇用。,"[{""text"": ""employ"", ""kind"": ""root"", ""meaning"": ""雇用""}, {""text"": ""-ment"", ""kind"": ""suffix"", ""meaning"": ""行为、结果或状态（构成名词）"", ""story"": ""-ment 经由法语进入英语，更早来自拉丁语 -mentum。它常给动作、结果或状态取名字。想象一个动作发生了，我们还想谈论这件事本身，这时就可能遇见它。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ment""}]",先理解词基，再看词缀如何改变含义或词性。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,im'plɒimәnt,https://github.com/skywind3000/ECDICT,offline-materials,employment,discussion,employment · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了雇用。小乐说：“We talked about the employment today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,employment,我们今天谈到了雇用。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 employment 说一句自己的话。
fashionable,PET,2,时髦的；上流社会的；流行的,adj.,人物与社会,She wears fashionable clothes.,她穿时髦的衣服。,"[{""text"": ""fashion"", ""kind"": ""root"", ""meaning"": ""时尚""}, {""text"": ""-able"", ""kind"": ""suffix"", ""meaning"": ""可以……的；适合……的"", ""story"": ""-able 经由法语进入英语，更早来自拉丁语的后缀形式。它常告诉我们“可以被这样做”或“适合这样做”。先认出动作，再想一想，这个东西能不能接受这个动作。"", ""source"": ""https://www.merriam-webster.com/dictionary/able""}]",先理解词基，再看词缀如何改变含义或词性。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'fæʃәnәbl,https://github.com/skywind3000/ECDICT,offline-materials,fashionable,authored,fashionable · 单词里的小故事,小乐和朋友交换今天的小发现。她穿时髦的衣服。小乐说：“She wears fashionable clothes.”朋友听懂了，也想起自己遇到过的事。,,She wears __________ clothes.,fashionable,她穿时髦的衣服。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 fashionable 说一句自己的话。
girlfriend,PET,2,女朋友,n.,人物与社会,This story is about a girlfriend.,这个故事讲的是一位女朋友。,"[{""text"": ""girl"", ""kind"": ""compound"", ""meaning"": ""女孩""}, {""text"": ""friend"", ""kind"": ""compound"", ""meaning"": ""朋友""}]",两个已有成分组合成一个词。结合它们的意思理解整体词义，但不要把这种现代拆分当作完整的历史词源。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,,https://github.com/skywind3000/ECDICT,offline-materials,girlfriend,person,girlfriend · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位女朋友。小乐说：“This story is about a girlfriend.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,girlfriend,这个故事讲的是一位女朋友。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 girlfriend 说一句自己的话。
housewife,PET,2,主妇；家庭妇女,n.,人物与社会,This story is about a housewife.,这个故事讲的是一位主妇。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506887-b1-preliminary-vocabulary-list.pdf,'hauswaif,https://github.com/skywind3000/ECDICT,offline-materials,housewife,person,housewife · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位主妇。小乐说：“This story is about a housewife.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,housewife,这个故事讲的是一位主妇。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 housewife 说一句自己的话。
