# word|short contextual example|Chinese
about|The book is about a cat.|这本书讲的是一只猫。
abroad|My aunt lives abroad.|我的阿姨住在国外。
absolutely|You are absolutely right.|你完全正确。
across|We walk across the road.|我们走过马路。
actually|I actually like the rain.|其实我喜欢下雨。
after|We play after school.|我们放学后玩耍。
afterwards|We ate lunch and went home afterwards.|我们吃了午饭，然后回家了。
again|Please say it again.|请再说一遍。
ago|I saw her two days ago.|我两天前见过她。
ahead|Look at the road ahead.|看看前面的路。
alike|The two bags look alike.|这两个包看起来很像。
almost|The bottle is almost full.|瓶子几乎满了。
along|We walk along the river.|我们沿着河走。
aloud|Please read the story aloud.|请大声读这个故事。
also|I also have a blue pen.|我也有一支蓝笔。
altogether|There are ten children altogether.|一共有十个孩子。
always|I always wash my hands before lunch.|我总是在午饭前洗手。
anymore|I do not live there anymore.|我不再住在那里了。
anyway|It was raining, but we went out anyway.|当时下着雨，但我们还是出去了。
anywhere|You can sit anywhere.|你可以坐在任何地方。
apart|The two houses are far apart.|这两座房子相隔很远。
apart from|Everyone came apart from Tom.|除了汤姆，大家都来了。
approximately|The trip takes approximately two hours.|这趟旅行大约需要两小时。
around|We sit around the table.|我们围着桌子坐。
away|Our school is not far away.|我们的学校不远。
back|Please come back soon.|请早点回来。
backwards|The boy walked backwards.|男孩倒着走。
badly|He played badly today.|他今天打得不好。
below|Write your name below the line.|在线下面写名字。
beside|The bag is beside the chair.|包在椅子旁。
certainly|I will certainly help you.|我一定会帮你。
clearly|Please speak clearly.|请说清楚。
completely|The box is completely empty.|箱子完全空了。
curiously|The cat looked curiously at the box.|猫好奇地看着箱子。
definitely|I will definitely come tomorrow.|我明天一定会来。
down|Put the bag down.|把包放下。
easily|She can run five miles easily.|她能轻松跑五英里。
either|You can take either book.|两本书中你可以拿任何一本。
else|Who else wants to play?|还有谁想玩？
even|Even my little brother can do it.|连我的小弟弟都会做。
ever|Have you ever seen snow?|你见过雪吗？
everywhere|We looked everywhere for the key.|我们到处找钥匙。
exactly|The clock says exactly nine.|时钟显示正好九点。
extremely|It is extremely cold today.|今天特别冷。
face to face|We want to talk face to face.|我们想面对面交谈。
fairly|The test was fairly easy.|这次测试相当容易。
far|How far is the school?|学校有多远？
finally|We finally found the house.|我们终于找到了那座房子。
first of all|First of all, write your name.|首先，写下名字。
forever|I want to keep this picture forever.|我想永远保留这幅画。
fortunately|Fortunately, we had an umbrella.|幸运的是，我们带了伞。
forward|Please take one step forward.|请向前走一步。
frequently|We frequently go to the park.|我们经常去公园。
full time|My father works full time.|我爸爸全职工作。
fully|I fully understand the question.|我完全理解这个问题。
further|We need to walk a little further.|我们需要再走远一点。
generally|I generally get up at seven.|我一般七点起床。
half|Please give me half the cake.|请给我一半蛋糕。
happily|The children played happily.|孩子们开心地玩耍。
hardly|I can hardly hear you.|我几乎听不见你说话。
here|Please sit here.|请坐这里。
home|Let's go home.|我们回家吧。
honestly|Please answer honestly.|请诚实回答。
