word,level,difficulty,meaning_zh,pos,topic,example,example_zh,parts_json,note,is_basic,accepted,source,phonetic,definition_source,content_status,display_word,example_kind,story_title,story_zh,teacher_prompt,cloze,cloze_answer,cloze_zh,cloze_type,materials_version,example_source,examples_json,student_prompt
boyfriend,KET,2,男朋友,n.,人物与社会,This story is about a boyfriend.,这个故事讲的是一位男朋友。,"[{""text"": ""boy"", ""kind"": ""compound"", ""meaning"": ""男孩""}, {""text"": ""friend"", ""kind"": ""compound"", ""meaning"": ""朋友""}]",两个已有成分组合成一个词。结合它们的意思理解整体词义，但不要把这种现代拆分当作完整的历史词源。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,'bɔifrend,https://github.com/skywind3000/ECDICT,offline-materials,boyfriend,person,boyfriend · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位男朋友。小乐说：“This story is about a boyfriend.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,boyfriend,这个故事讲的是一位男朋友。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 boyfriend 说一句自己的话。
girlfriend,KET,2,女朋友,n.,人物与社会,This story is about a girlfriend.,这个故事讲的是一位女朋友。,"[{""text"": ""girl"", ""kind"": ""compound"", ""meaning"": ""女孩""}, {""text"": ""friend"", ""kind"": ""compound"", ""meaning"": ""朋友""}]",两个已有成分组合成一个词。结合它们的意思理解整体词义，但不要把这种现代拆分当作完整的历史词源。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,,https://github.com/skywind3000/ECDICT,offline-materials,girlfriend,person,girlfriend · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位女朋友。小乐说：“This story is about a girlfriend.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,girlfriend,这个故事讲的是一位女朋友。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 girlfriend 说一句自己的话。
housewife,KET,2,主妇；家庭妇女,n.,人物与社会,This story is about a housewife.,这个故事讲的是一位主妇。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,'hauswaif,https://github.com/skywind3000/ECDICT,offline-materials,housewife,person,housewife · 单词里的小故事,读书会轮到小乐介绍故事里的一个人物。这个故事讲的是一位主妇。小乐说：“This story is about a housewife.”朋友听懂了，也想起自己遇到过的事。,,This story is about a __________.,housewife,这个故事讲的是一位主妇。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 housewife 说一句自己的话。
job,KET,1,工作；零活；职业,n.,人物与社会,We talked about the job today.,我们今天谈到了工作。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,dʒɒb,https://github.com/skywind3000/ECDICT,offline-materials,job,discussion,job · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了工作。小乐说：“We talked about the job today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,job,我们今天谈到了工作。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 job 说一句自己的话。
occupation,KET,2,职业,n.,人物与社会,We talked about the occupation today.,我们今天谈到了职业。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,.ɒkju'peiʃәn,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,occupation,discussion,occupation · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了职业。小乐说：“We talked about the occupation today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,occupation,我们今天谈到了职业。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 occupation 说一句自己的话。
staff,KET,1,全体员工,n.,人物与社会,We talked about the staff today.,我们今天谈到了全体员工。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,stɑ:f,常用义教学修订；原词典见 ECDICT-LICENSE.txt,offline-materials,staff,discussion,staff · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了全体员工。小乐说：“We talked about the staff today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,staff,我们今天谈到了全体员工。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 staff 说一句自己的话。
work,KET,1,工作；劳动；职业,n; v.,人物与社会,We talked about the work today.,我们今天谈到了工作。,[],结合常用释义整体记忆。先听老师读，再用自己的生活场景解释。,1,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,wә:k,https://github.com/skywind3000/ECDICT,offline-materials,work,discussion,work · 单词里的小故事,小乐和朋友聊起今天的一件事。我们今天谈到了工作。小乐说：“We talked about the work today.”朋友听懂了，也想起自己遇到过的事。,,We talked about the __________ today.,work,我们今天谈到了工作。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 work 说一句自己的话。
actor,KET,2,演员,n.,人物与职业,The actor wears a funny hat.,那名演员戴着一顶有趣的帽子。,"[{""text"": ""act"", ""kind"": ""root"", ""meaning"": ""表演""}, {""text"": ""-or"", ""kind"": ""suffix"", ""meaning"": ""做某事的人"", ""story"": ""-or 的一条来路是法语，更早能追到拉丁语。它常把注意力从一个动作，转到做这个动作的人身上。看到这样的结尾，可以先问：这是谁在做什么？"", ""source"": ""https://www.merriam-webster.com/dictionary/-or""}]",act + -or 表示表演的人。这个词使用 -or，不是 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,'æktә,原创课堂释义与例句,offline-materials,actor,authored,actor · 单词里的小故事,小乐和朋友交换今天的小发现。那名演员戴着一顶有趣的帽子。小乐说：“The actor wears a funny hat.”朋友听懂了，也想起自己遇到过的事。,,The __________ wears a funny hat.,actor,那名演员戴着一顶有趣的帽子。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The actor plays a father in the film."", ""zh"": ""这位演员在电影里扮演一位父亲。""}]",想象你也在这个场景里。用 actor 说一句自己的话。
artist,KET,2,艺术家；画家,n.,人物与职业,The artist paints a blue sea.,画家画了一片蓝色的大海。,"[{""text"": ""art"", ""kind"": ""root"", ""meaning"": ""艺术""}, {""text"": ""-ist"", ""kind"": ""suffix"", ""meaning"": ""从事某种活动的人"", ""story"": ""-ist 经过法语和拉丁语，能追溯到古希腊语。它常出现在某种活动的参与者、乐器演奏者或专业人士的名字里。这个小小的结尾，好像在介绍一个人的本领。"", ""source"": ""https://www.merriam-webster.com/dictionary/-ist""}]",art + -ist 表示从事艺术的人。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,'ɑ:tist,原创课堂释义与例句,offline-materials,artist,authored,artist · 单词里的小故事,小乐和朋友交换今天的小发现。画家画了一片蓝色的大海。小乐说：“The artist paints a blue sea.”朋友听懂了，也想起自己遇到过的事。,,The __________ paints a blue sea.,artist,画家画了一片蓝色的大海。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,"[{""en"": ""The artist draws a picture of our town."", ""zh"": ""这位艺术家画了一幅我们小镇的画。""}]",想象你也在这个场景里。用 artist 说一句自己的话。
beginner,KET,3,初学者,n.,人物与职业,This class is for a beginner.,这堂课适合初学者。,"[{""text"": ""begin"", ""kind"": ""root"", ""meaning"": ""开始""}, {""text"": ""-er"", ""kind"": ""suffix"", ""meaning"": ""做某事的人或物"", ""story"": ""表示做事者的 -er 有古英语 -ere 等历史来源。它常把动作变成做这个动作的人或工具。先找到动作，再问“谁来做”，就能串起一组词。比较级里的 -er 是另一种用法。"", ""source"": ""https://www.merriam-webster.com/dictionary/-er""}]",注意拼写：末尾辅音字母双写后再接 -er。,0,,https://www.cambridgeenglish.org/images/506886-a2-key-2020-vocabulary-list.pdf,bi'ginә,原创课堂释义与例句,offline-materials,beginner,authored,beginner · 单词里的小故事,小乐和朋友交换今天的小发现。这堂课适合初学者。小乐说：“This class is for a beginner.”朋友听懂了，也想起自己遇到过的事。,,This class is for a __________.,beginner,这堂课适合初学者。,context,2026-09-v2,本地预制课堂素材；原创短句与场景模板,[],想象你也在这个场景里。用 beginner 说一句自己的话。
