#-er|suffix|做某事的人或物
baker|bake|烘烤
builder|build|建造
buyer|buy|购买
camper|camp|露营
climber|climb|攀登
cooker|cook|烹饪
designer|design|设计
employer|employ|雇用
explorer|explore|探索
learner|learn|学习
listener|listen|听
manager|manage|管理
organiser|organise|组织
organizer|organize|组织
owner|own|拥有
passenger|passage|旅程
performer|perform|表演
photographer|photograph|拍照
producer|produce|生产；制作
reader|read|阅读
reporter|report|报道
researcher|research|研究
rider|ride|骑
shopper|shop|购物
skier|ski|滑雪
speaker|speak|说话
supporter|support|支持
swimmer|swim|游泳
trainer|train|训练
traveller|travel|旅行
traveler|travel|旅行
waiter|wait|等候；侍候
#-or|suffix|做某事的人
director|direct|指导；执导
instructor|instruct|指导
inventor|invent|发明
sailor|sail|航行
visitor|visit|参观；拜访
#-ist|suffix|从事某种活动的人
cyclist|cycle|骑自行车
journalist|journal|期刊；报刊
tourist|tour|游览
pianist|piano|钢琴
guitarist|guitar|吉他
#-ment|suffix|行为、结果或状态（构成名词）
achievement|achieve|实现
agreement|agree|同意
announcement|announce|宣布
arrangement|arrange|安排
development|develop|发展
disagreement|disagree|不同意
employment|employ|雇用
encouragement|encourage|鼓励
entertainment|entertain|娱乐
equipment|equip|装备
excitement|excite|使兴奋
government|govern|治理
improvement|improve|改善
management|manage|管理
movement|move|移动
payment|pay|支付
punishment|punish|惩罚
replacement|replace|替换
treatment|treat|对待；治疗
#-ness|suffix|性质或状态（构成名词）
darkness|dark|黑暗的
fairness|fair|公平的
fitness|fit|健康的
happiness|happy|快乐的
illness|ill|生病的
kindness|kind|友善的
loneliness|lonely|孤独的
sadness|sad|悲伤的
sickness|sick|生病的
weakness|weak|虚弱的
#-ful|suffix|有……特征的；充满……的
colourful|colour|颜色
colorful|color|颜色
harmful|harm|伤害
hopeful|hope|希望
painful|pain|疼痛
peaceful|peace|和平
powerful|power|力量
successful|success|成功
thankful|thank|感谢
truthful|truth|真相
#-less|suffix|没有；缺少
careless|care|小心；关心
endless|end|尽头
harmless|harm|伤害
homeless|home|家
hopeless|hope|希望
painless|pain|疼痛
sleepless|sleep|睡眠
useless|use|用处
#-ly|suffix|以……的方式（构成副词）
actually|actual|实际的
badly|bad|差的
beautifully|beautiful|美丽的
certainly|certain|确定的
clearly|clear|清楚的
closely|close|密切的
completely|complete|完整的
correctly|correct|正确的
differently|different|不同的
directly|direct|直接的
easily|easy|容易的
exactly|exact|准确的
finally|final|最后的
frequently|frequent|频繁的
generally|general|一般的
happily|happy|快乐的
hardly|hard|费力的
immediately|immediate|立即的
luckily|lucky|幸运的
mainly|main|主要的
normally|normal|正常的
obviously|obvious|明显的
originally|original|原来的
partly|part|部分
perfectly|perfect|完美的
personally|personal|个人的
politely|polite|有礼貌的
poorly|poor|差的
properly|proper|恰当的
quietly|quiet|安静的
really|real|真实的
recently|recent|最近的
regularly|regular|有规律的
safely|safe|安全的
seriously|serious|认真的
simply|simple|简单的
specially|special|特别的
successfully|successful|成功的
unfortunately|unfortunate|不幸的
#-y|suffix|有……特征的
dirty|dirt|污垢
hairy|hair|毛发
icy|ice|冰
rainy|rain|雨
salty|salt|盐
sleepy|sleep|睡眠
snowy|snow|雪
spicy|spice|香料
stormy|storm|暴风雨
sunny|sun|太阳
tasty|taste|味道
thirsty|thirst|口渴
wealthy|wealth|财富
#-ing|suffix|把动作当作活动或事物来表达
advertising|advertise|做广告
boating|boat|划船
booking|book|预订
building|build|建造
cooking|cook|烹饪
dancing|dance|跳舞
driving|drive|驾驶
heating|heat|加热
jogging|jog|慢跑
learning|learn|学习
meeting|meet|见面
parking|park|停车
racing|race|竞赛
recycling|recycle|回收利用
riding|ride|骑
running|run|跑
sailing|sail|航行
shopping|shop|购物
sightseeing|sightsee|观光
singing|sing|唱歌
skating|skate|滑冰
skiing|ski|滑雪
spelling|spell|拼写
surfing|surf|冲浪
training|train|训练
walking|walk|步行
warning|warn|警告
washing|wash|洗
wedding|wed|结婚
writing|write|写
#-able|suffix|可以……的；适合……的
comfortable|comfort|舒适；安慰
enjoyable|enjoy|享受
fashionable|fashion|时尚
reasonable|reason|道理
suitable|suit|适合
valuable|value|价值
washable|wash|洗
#-ion|suffix|动作或结果（构成名词）
collection|collect|收集
connection|connect|连接
construction|construct|建造
education|educate|教育
information|inform|告知
invention|invent|发明
pollution|pollute|污染
protection|protect|保护
suggestion|suggest|建议
translation|translate|翻译
#-ation|suffix|动作或结果（构成名词）
celebration|celebrate|庆祝
explanation|explain|解释
invitation|invite|邀请
organisation|organise|组织
organization|organize|组织
preparation|prepare|准备
#un-|prefix|不；非
unable|able|能够的
uncomfortable|comfortable|舒服的
unfair|fair|公平的
unfit|fit|健康的；合适的
unfriendly|friendly|友好的
unhappy|happy|快乐的
unhealthy|healthy|健康的
unknown|known|已知的
unimportant|important|重要的
uninterested|interested|感兴趣的
unkind|kind|友善的
unlike|like|像
unlucky|lucky|幸运的
unnecessary|necessary|必要的
