# word|example|example_zh
accept|Please accept this small gift.|请收下这份小礼物。
accompany|May I accompany you to the shop?|我可以陪你去商店吗？
achieve|We can achieve our goal together.|我们能一起实现目标。
add|Add some milk to the tea.|往茶里加一些牛奶。
admire|I admire her beautiful pictures.|我欣赏她美丽的画作。
admit|I admit that I was wrong.|我承认我错了。
advertise|We advertise our shop online.|我们在网上为商店做广告。
advise|I advise you to take a coat.|我建议你带一件外套。
affect|Rain can affect our plans.|下雨会影响我们的计划。
afford|We can afford a small car.|我们买得起一辆小汽车。
allow|They allow us to use the room.|他们允许我们使用这个房间。
announce|They will announce the result today.|他们今天会宣布结果。
annoy|Loud sounds annoy me.|很大的声音让我心烦。
apologise|I want to apologise for being late.|我想为迟到道歉。
appear|Stars appear in the night sky.|星星出现在夜空中。
apply|I want to apply for this job.|我想申请这份工作。
approach|Please approach the dog slowly.|请慢慢靠近那只狗。
approve|My parents approve of the plan.|我的父母赞成这个计划。
argue|Please do not argue about the game.|请不要为这场游戏争吵。
arrange|We will arrange a time to meet.|我们会安排一个见面时间。
arrest|The police arrest the thief.|警察逮捕了小偷。
ask|May I ask a question?|我可以问个问题吗？
assist|Can you assist me with this box?|你能帮我搬这个箱子吗？
attach|Attach your name to the bag.|把你的名字贴在包上。
attempt|We will attempt to climb the hill.|我们会尝试爬上这座山。
attend|I attend a music class every week.|我每周参加一节音乐课。
attract|Bright flowers attract bees.|鲜艳的花吸引蜜蜂。
avoid|We leave early to avoid the crowds.|我们早出发以避开人群。
babysit|Can you babysit my little sister?|你能照看一下我的小妹妹吗？
base on|What can we base our answer on?|我们的回答可以基于什么？
be|I want to be a teacher.|我想成为一名老师。
be over|The game will be over soon.|比赛很快就要结束了。
beat|Our team can beat their team.|我们队能打败他们队。
become|I want to become a doctor.|我想成为一名医生。
begin|We begin the lesson at nine.|我们九点开始上课。
behave|Please behave well in class.|请在课堂上表现好一些。
belong|These books belong to the school.|这些书属于学校。
bite|Be careful. The dog may bite.|小心。这只狗可能会咬人。
blame|Do not blame him for the mistake.|不要因为这个错误责怪他。
bleed|A small cut can bleed.|一个小伤口也会流血。
blow|Blow out the candles, please.|请吹灭蜡烛。
bother|Sorry to bother you.|抱歉打扰你。
break down|Old cars can break down.|旧汽车可能会出故障。
break in|The police stopped a man trying to break in.|警察拦住了一个想闯入的人。
break up|We break up for the holidays on Friday.|我们周五开始放假。
breathe|Breathe slowly and try to relax.|慢慢呼吸，试着放松。
bring back|Please bring back my book tomorrow.|请明天把我的书带回来。
bring up|She wants to bring up her children here.|她想在这里养育孩子。
burn|Do not touch the fire. It can burn you.|不要碰火。它会烧伤你。
bury|The dog likes to bury its toys.|这只狗喜欢把玩具埋起来。
buy|I want to buy a new pen.|我想买一支新笔。
call for|The teacher will call for help.|老师会呼叫求助。
call in|I will call in to see you tomorrow.|我明天会顺道来看你。
cancel|We must cancel the game because of rain.|由于下雨，我们必须取消比赛。
cannot|I cannot find my bag.|我找不到我的包。
carry on|Please carry on with your work.|请继续你的工作。
carry out|We will carry out the plan together.|我们会一起执行计划。
catch|Can you catch this ball?|你能接住这个球吗？
celebrate|We celebrate her birthday today.|我们今天庆祝她的生日。
cheat|It is wrong to cheat in a test.|考试作弊是不对的。
check in|We can check in at the hotel now.|我们现在可以在酒店办理入住。
check out|We must check out before ten.|我们必须在十点前退房。
chill out|Let's chill out after school.|放学后我们放松一下吧。
clap|Please clap for the children.|请为孩子们鼓掌。
climb|Can you climb this hill?|你能爬上这座山吗？
come back|Please come back before six.|请在六点前回来。
come on|Come on! We can win!|加油！我们能赢！
communicate|We communicate by phone.|我们通过电话交流。
compare|Compare the two pictures.|比较这两幅图片。
compete|Ten teams will compete in the game.|十支队伍会参加比赛。
complain|Do not just complain. Try to help.|不要只是抱怨。试着帮忙。
concentrate|I need a quiet room to concentrate.|我需要安静的房间来集中注意力。
confirm|Please confirm the time by email.|请通过邮件确认时间。
connect|This road can connect the two towns.|这条路能连接两个镇。
consider|Please consider my idea.|请考虑一下我的想法。
consist|The team will consist of six children.|这个队将由六个孩子组成。
contain|These boxes contain books.|这些箱子里装着书。
continue|We will continue the game tomorrow.|我们明天会继续比赛。
convince|Can you convince him to join us?|你能说服他加入我们吗？
could|Could you open the door, please?|请你打开门好吗？
count|Count the apples in the bag.|数一数袋子里的苹果。
create|Let's create a story together.|我们一起创作一个故事吧。
cut up|Cut up the fruit for the children.|把水果切碎给孩子们吃。
deal|Please deal the cards.|请发牌。
deal with|We can deal with this problem together.|我们能一起处理这个问题。
declare|I declare the game open.|我宣布比赛开始。
decorate|We decorate the room with flowers.|我们用花装饰房间。
defend|The dog will defend its home.|这只狗会保卫它的家。
delete|Please delete the old file.|请删除旧文件。
deliver|They deliver food to our home.|他们把食物送到我们家。
depart|The train will depart at ten.|火车将在十点出发。
depend|Children depend on their parents.|孩子们依靠父母。
deserve|You deserve a rest after your work.|工作后你应该休息一下。
destroy|Fire can destroy a house.|火会毁掉一座房子。
develop|Children develop new skills at school.|孩子们在学校发展新技能。
dial|Please dial this number.|请拨这个号码。
dial up|You need a modem to dial up.|拨号上网需要调制解调器。
die|Plants can die without water.|植物缺水可能会死。
dig|We dig a hole for the tree.|我们挖一个坑种树。
disappoint|I do not want to disappoint my team.|我不想让我的队伍失望。
discuss|Let's discuss the plan after lunch.|午饭后我们讨论计划吧。
disturb|Please do not disturb her. She is reading.|请不要打扰她。她正在读书。
dive|Can you dive into the pool?|你能跳入泳池吗？
divide|Divide the cake into six pieces.|把蛋糕分成六块。
do|What do you do after school?|放学后你做什么？
drag|Do not drag the bag on the floor.|不要在地上拖着包。
draw|I can draw a cat.|我会画一只猫。
earn|She wants to earn money for a bike.|她想挣钱买一辆自行车。
eat|We eat lunch at school.|我们在学校吃午饭。
employ|They employ ten people in the shop.|他们在店里雇了十个人。
encourage|We encourage her to try again.|我们鼓励她再试一次。
end up|We may end up staying at home.|我们最后可能会待在家里。
enquire|I want to enquire about the price.|我想询问价格。
enter|Please enter the room quietly.|请安静地走进房间。
entertain|The children entertain us with a song.|孩子们唱歌让我们开心。
