# School-use common senses. Applied to dictionary expansion entries.
bit|一点；少量
brush|刷子；刷
chips|炸薯条
clean|干净的；打扫
click|点击；咔哒声
colour|颜色；给……涂色
contact|联系
cook|厨师；做饭
cover|覆盖；封面
cream|奶油；面霜；奶油色的
cross|穿过；十字形
dress|连衣裙；穿衣服
dry|干的；弄干
early|早的；早地
fall|落下；秋天（美式英语）
fast|快的；快速地
film|电影；拍摄电影
fun|乐趣；有趣的
gold|黄金；金色的
kick|踢
kite|风筝
leather|皮革
left|左边；左边的
matter|事情；有关系；要紧
metal|金属
note|笔记；便条；记录
park|公园；停车
past|过去；经过
phone|电话；打电话
plastic|塑料；塑料制的
race|赛跑；比赛
ring|戒指；铃声；响铃
score|得分；分数
shop|商店；购物
show|展示；演出
smart|聪明的；整洁漂亮的
soup|汤
sweet|甜的；糖果
text|课文；短信；发短信
total|总的；总数
underground|地铁；地下的
watch|手表；观看
well|好；健康的
mobile|手机
benefit|好处；使受益
brake|刹车；刹住
charge|收费；费用；充电
defeat|击败；失败
direct|直接的；指导
flood|洪水；淹没
folk|民间的；民众
graduate|毕业生；毕业
grill|烤架；烧烤
hire|雇用；租用
influence|影响
interview|面试；采访
iron|铁；熨斗；熨烫
land|陆地；着陆
lock|锁；锁上
overnight|一夜之间；在夜间
professional|专业的；专业人员
promise|承诺；答应
reserve|预订；保留
signal|信号；发信号
silk|丝；丝绸
stick|棍子；粘贴
tick|对号；打勾；滴答声
vegetarian|素食者；素食的
waste|浪费；废物；废弃的
wave|波浪；挥手
wear out|用坏；穿破；使疲惫
well-made|做工好的
may|可以；可能；五月
can|能；可以；罐头
will|将；愿意
must|必须
might|可能；也许
shall|将要；用于提出建议
should|应该
would|会；愿意
could|能；可以
at|在（地点或时间）
it|它；信息技术（IT）
pc|个人电脑
id|身份证明
up to|多达；直到
present|礼物；现在；在场的
right|右边；正确的
capital|首都；大写字母
spring|春天
mean|意思是
fit|健康的；适合
fine|好的；晴朗的
free|免费的；自由的
court|球场
date|日期；约会
match|比赛；匹配
light|光；灯；轻的
round|圆的；围绕
bill|账单
copy|复制；抄写
staff|全体员工
photo|照片
certainly|当然；肯定
purple|紫色；紫色的
nice|好的；友善的
mile|英里
burger|汉堡包
ingredient|（烹饪的）原料
right hand|右手
t-shirt|T恤
ordinary|普通的
plain|简单的；朴素的
promote|促进；晋升
game|游戏；比赛
chair|椅子
ice|冰
bug|小虫；程序错误
tall|高的
steep|陡峭的
tin|罐头盒；锡
tube|管子；地铁（英国口语）
calf|小牛；小腿
cell phone|手机
chip|薯条；芯片
coach|教练；长途客车
club|俱乐部
condition|状况；条件
course|课程；一道菜
crop|庄稼；作物
customs|海关
degree|程度；度；学位
diet|日常饮食
dish|盘子；一道菜
drop|落下；滴
fair|公平的；浅色的
fan|风扇；爱好者
figure|数字；人物
firm|公司
fly|苍蝇；飞
form|表格；形式
ground|地面
hit|打；击中；受欢迎的作品
issue|问题；一期
jam|果酱；堵塞
joint|共同的
kid|孩子
kit|成套工具
lack|缺乏
lecture|讲座
level|水平；等级
lift|电梯；举起
lighter|打火机
load|负载；装载
lottery|彩票；抽奖
madam|女士（礼貌称呼）
mate|朋友；伙伴
material|材料
medium|中等的
model|模型；模特
operation|手术；操作
operator|操作员；接线员
pants|裤子（美式）；内裤（英式）
pass|通过；通行证
period|一段时间；课时
pitch|球场
plot|故事情节
pop|流行音乐
post|邮件；邮寄
pound|英镑；磅
power|力量；电力
prayer|祈祷
property|财产
public|公共的；公众
quarter|四分之一；一刻钟
record|记录；录制
regards|问候
rent|租金；租用
respect|尊重
rock|岩石；摇滚乐
role|角色
roll|卷；小圆面包
row|一排；划船
rubber|橡皮（英式）；橡胶
ruin|毁坏；废墟
sail|帆；航行
scene|场景；一幕
secret|秘密；秘密的
security|安全；保安工作
server|服务器；服务员
set|一套；放置
sex|性别
shade|阴凉处
sheet|床单；一张（纸）
single|单个的；单程票
site|地点；网站
slide|滑梯；滑动
soul|心灵；灵魂
spite|恶意（常见于 in spite of：尽管）
spot|地点；斑点
squash|壁球；浓缩果汁饮料
stall|摊位
strike|打击；罢工
studies|学习；研究
stuff|东西
subject|科目；话题
suit|套装；适合
sum|总数；金额
tablet|平板电脑；药片
tap|水龙头；轻拍
tear|眼泪；撕开
tense|时态
term|学期；术语
tip|建议；小费；尖端
title|标题
track|跑道；轨道
trainer|运动鞋（英式）；教练
trunk|树干；象鼻
tune|曲调
turkey|火鸡
type|类型；打字
value|价值；重视
volume|音量；体积
while|一会儿；当……时候
wish|愿望；希望
yard|院子；码
youth|青年；青春
solve|解决
for sale|待售
